"member","variable","measure","h","logdens","crps","rmse"
"combo_equal","gdp_growth","q",5,-2.60557798795895,0.731377820722174,1.67859914320853
"combo_equal","gdp_growth","q",6,-1.83403493783678,0.772745384849397,1.77304696648342
"combo_equal","gdp_growth","q",7,-1.98409345245674,0.799140851558625,1.78161471768617
"combo_equal","gdp_growth","q",8,-2.17402707838551,0.816600814007463,1.81440894606668
"combo_equal","gdp_growth","q",9,-1.81066639837101,0.82845098801284,1.82862301023746
"combo_equal","gdp_growth","ye",1,-7.34951656682862,0.635062625841036,1.61956924608663
"combo_equal","gdp_growth","ye",10,-2.44148865326643,1.51471163500413,2.99758892912065
"combo_equal","gdp_growth","ye",11,-2.44468713877707,1.55272331453407,3.00731930674682
"combo_equal","gdp_growth","ye",12,-2.42414835376843,1.54625141411126,2.99763661419544
"combo_equal","gdp_growth","ye",2,-2.67737421865758,0.983682336216289,2.28394542515968
"combo_equal","gdp_growth","ye",3,-2.14010666297872,1.15409946886383,2.64321998308126
"combo_equal","gdp_growth","ye",4,-2.19792286831878,1.29832638465065,2.81840997825164
"combo_equal","gdp_growth","ye",5,-2.28912694418576,1.38226471993097,2.74914843053903
"combo_equal","gdp_growth","ye",6,-2.27481379475431,1.40600267556156,2.77599422955867
"combo_equal","gdp_growth","ye",7,-2.32956085472702,1.43636539053494,2.78854053918066
"combo_equal","gdp_growth","ye",8,-2.37516226886904,1.51006371077316,2.8917578297573
"combo_equal","gdp_growth","ye",9,-2.38923089371727,1.52199458056912,3.03996639975185
"combo_equal","unemp_rate","q",1,0.0295420876738351,0.158662330670749,0.36894326493185
"combo_equal","unemp_rate","q",10,-1.79845110179724,0.733837104521348,1.29661802459738
"combo_equal","unemp_rate","q",11,-1.83188732831648,0.765733534230968,1.30572360554665
"combo_equal","unemp_rate","q",12,-1.85056741091469,0.782146090543972,1.32056220300311
"combo_equal","unemp_rate","q",2,-0.593495036400716,0.284712254130925,0.578278707898469
"combo_equal","unemp_rate","q",3,-0.994657569366417,0.407758248123133,0.765476362752097
"combo_equal","unemp_rate","q",4,-1.22742870304077,0.490280283196619,0.902099473962766
"combo_equal","unemp_rate","q",5,-1.38616744712102,0.550638585862159,1.02471017218316
"combo_equal","unemp_rate","q",6,-1.51345877470182,0.609494597033651,1.12217183465705
"combo_equal","unemp_rate","q",7,-1.62385214008049,0.66976969861174,1.22009062754515
"combo_equal","unemp_rate","q",8,-1.71444902814828,0.699174546421708,1.26232182091602
"combo_equal","unemp_rate","q",9,-1.75802280057931,0.723861513978529,1.28114469795221
"combo_logscore","cash_rate","q",1,0.106882111084101,0.122318250596604,0.263568509893492
"combo_logscore","cash_rate","q",10,-2.4309257165694,1.50269732438558,2.515468150549
