"member","variable","h","point","lo90","hi90","origin_date"
"small_minn","gdp_growth",11,0.614522354711622,-0.0959379878123033,1.44336094627033,2026-01-01
"small_minn","gdp_growth",12,0.624519499878734,-0.0887684910134098,1.55282421919957,2026-01-01
"small_minn","cpi_inflation",1,0.810496975040021,0.551399128581549,1.1173437677418,2026-01-01
"small_minn","cpi_inflation",2,0.817558906936163,0.504306335113566,1.13543143745404,2026-01-01
"small_minn","cpi_inflation",3,0.814100604382639,0.478732659075381,1.12976773878025,2026-01-01
"small_minn","cpi_inflation",4,0.796792585253524,0.452061570702488,1.11181524771343,2026-01-01
"small_minn","cpi_inflation",5,0.784800532997551,0.46599548103227,1.07743344800324,2026-01-01
"small_minn","cpi_inflation",6,0.790950375525377,0.43948680175654,1.12530808631199,2026-01-01
"small_minn","cpi_inflation",7,0.786878458173412,0.462127294451821,1.11169058127934,2026-01-01
"small_minn","cpi_inflation",8,0.771559377076396,0.438648492321458,1.12702265384618,2026-01-01
"small_minn","cpi_inflation",9,0.77741314843046,0.436735984924065,1.07113246991033,2026-01-01
"small_minn","cpi_inflation",10,0.749043026387308,0.423325589254583,1.09068912520729,2026-01-01
"small_minn","cpi_inflation",11,0.767932841649267,0.452455716622972,1.0967833212141,2026-01-01
"small_minn","cpi_inflation",12,0.754277200287209,0.391280290519356,1.14435910894404,2026-01-01
"small_minn","unemp_rate",1,4.20301386806876,3.91723637566548,4.45232553951311,2026-01-01
"small_minn","unemp_rate",2,4.2077242696086,3.77017456047254,4.59080771181389,2026-01-01
"small_minn","unemp_rate",3,4.21067539448776,3.69613828393016,4.73882643498662,2026-01-01
"small_minn","unemp_rate",4,4.21305257041802,3.6465568632977,4.85499582106898,2026-01-01
"small_minn","unemp_rate",5,4.26199966045942,3.59073417392385,4.91121282249302,2026-01-01
"small_minn","unemp_rate",6,4.260009745711,3.44078612192968,5.04718072787365,2026-01-01
"small_minn","unemp_rate",7,4.26651629848224,3.44650993039063,5.11198063919643,2026-01-01
"small_minn","unemp_rate",8,4.23928928208853,3.40421119189423,5.19015981689546,2026-01-01
"small_minn","unemp_rate",9,4.26321248627869,3.34245603707929,5.2857834528879,2026-01-01
"small_minn","unemp_rate",10,4.25219153506413,3.25990153018092,5.33740000895665,2026-01-01
"small_minn","unemp_rate",11,4.24198178070169,3.25274551132328,5.39964159478746,2026-01-01
"small_minn","unemp_rate",12,4.21328462478239,3.21214936399859,5.45037570359627,2026-01-01
"small_minn","cash_rate",1,3.86641422761397,3.44186597275759,4.39219493801208,2026-01-01
"small_minn","cash_rate",2,3.90148894445138,3.10320683991779,4.66658899407221,2026-01-01
"small_minn","cash_rate",3,3.85903124599551,2.85578469241583,4.91390940071727,2026-01-01
"small_minn","cash_rate",4,3.83493944877556,2.54449077076847,5.06611272702535,2026-01-01
"small_minn","cash_rate",5,3.8611510245838,2.32684745823903,5.22844697184859,2026-01-01
"small_minn","cash_rate",6,3.84100626606667,2.06220723774642,5.46053379931229,2026-01-01
